billboard_ranking,song,popular_or_not,spotify_popularity,bpm,loudness,key,key_scale,key_strength,chords_changes_rate,chords_key,chords_number_rate
86,Por Las Noches,1,78,114.0101318359375,-9.574773788452148,Ab,major,0.5188072919845581,0.06294706463813782,G,0.01287553645670414
87,Memory Lane,1,73,109.74351501464844,-7.440481185913086,F,major,0.803358793258667,0.0443490706384182,E,0.01287553645670414
88,Area Codes,1,77,71.40349578857422,-11.13303279876709,F,minor,0.5692108869552612,0.13447782397270203,A,0.017167381942272186
89,Bury Me In Georgia,1,63,73.77096557617188,-8.080531120300293,F#,minor,0.41641664505004883,0.07725322246551514,F,0.015736766159534454
90,PRC,1,78,126.95682525634766,-8.301328659057617,C#,major,0.4907616972923279,0.07010014355182648,C#,0.01287553645670414
93,Wild As Her,1,73,136.63551330566406,-7.656386375427246,F#,major,0.8708835244178772,0.06437768042087555,Bb,0.01287553645670414
94,Peaches & Eggplants,1,70,134.9743194580078,-8.984957695007324,F,minor,0.852274477481842,0.07868383079767227,E,0.0071530756540596485
96,"Bzrp Music Sessions, Vol. 53",1,64,116.3161849975586,-9.03990364074707,C#,minor,0.5517494678497314,0.0443490706384182,C,0.01001430582255125
97,Meltdown,1,83,103.43058013916016,-8.529043197631836,C,minor,0.5774770379066467,0.05865522101521492,C,0.011444921605288982
98,Put It On Da Floor Again,1,69,102.67111206054688,-9.137866973876953,C,major,0.8726576566696167,0.12160228937864304,E,0.011444921605288982
100,Watermelon Moonshine,1,77,129.44554138183594,-8.321820259094238,C,major,0.8297309279441833,0.035765379667282104,B,0.01287553645670414
0,Handstand,0,56,84.84477996826172,-6.331167221069336,C,major,0.7132393717765808,0.04577968642115593,E,0.011444921605288982
0,Too Late,0,66,88.36068725585938,-9.983154296875,F,major,0.8998857736587524,0.061516452580690384,C#,0.01001430582255125
0,A Song Was Born,0,55,144.08799743652344,-6.944606781005859,E,major,0.7289247512817383,0.07153075933456421,Bb,0.01287553645670414
0,Too Late,0,66,88.36068725585938,-9.983154296875,F,major,0.8998857736587524,0.061516452580690384,C#,0.01001430582255125
0,Born Again,0,32,123.17308044433594,-10.272271156311035,Ab,major,0.8448662757873535,0.040057223290205,C,0.008583690971136093
0,Highway Boys,0,49,142.8358154296875,-10.700159072875977,Ab,minor,0.40515023469924927,0.055793993175029755,G,0.01287553645670414
0,Boyfriends,0,68,110.40644836425781,-8.011504173278809,Ab,minor,0.7523258924484253,0.040057223290205,Bb,0.01001430582255125
0,Found Your Love,0,49,124.6519546508789,-7.990725517272949,A,major,0.7502065896987915,0.03147353231906891,Ab,0.0071530756540596485
0,Take A Risk,0,35,105.27363586425781,-7.325560569763184,C,minor,0.6005383729934692,0.06580829620361328,A,0.011444921605288982
0,Boy's a Liar,0,51,122.97409057617188,-9.137140274047852,E,major,0.8929640650749207,0.09442060440778732,Eb,0.014306151308119297
0,Pop's Last Name,0,37,82.94216918945312,-9.782883644104004,D,minor,0.7303849458694458,0.05436337739229202,A,0.011444921605288982
0,Overload Enter.lewd,0,36,95.06851959228516,-11.756464004516602,C,minor,0.9475268721580505,0.09442060440778732,C,0.01287553645670414
0,Therapy Session,0,40,53.63505554199219,-14.108335494995117,C#,minor,0.4152642488479614,0.10872675478458405,C,0.021459227427840233
0,Perdón Jefa,0,44,122.79198455810547,-10.089202880859375,A,minor,0.47833478450775146,0.10872675478458405,Ab,0.018597997725009918
0,CS,0,50,117.73711395263672,-8.937740325927734,F,minor,0.4579547345638275,0.07868383079767227,C,0.0200286116451025
0,ALL UP IN YOUR MIND,0,65,125.91986846923828,-9.061674118041992,C,minor,0.6757296323776245,0.037195995450019836,E,0.008583690971136093
0,born rich,0,52,104.44917297363281,-8.328959465026855,G,minor,0.5496038198471069,0.06580829620361328,C#,0.0071530756540596485
0,Hungover In A Church Pew,0,49,76.50201416015625,-8.294173240661621,D,major,0.7060877680778503,0.030042918398976326,C#,0.008583690971136093
0,butterflies,0,50,95.94420623779297,-8.918051719665527,Ab,minor,0.6269994974136353,0.10729613900184631,G,0.0200286116451025
0,A Song Was Born,0,55,144.08799743652344,-6.944606781005859,E,major,0.7289247512817383,0.07153075933456421,Bb,0.01287553645670414
0,2Gether (Enterlude),0,50,110.08876037597656,-8.250959396362305,Eb,major,0.6669603586196899,0.05293276160955429,D,0.01287553645670414
0,La Bebe,0,47,78.38574981689453,-10.89954948425293,C,minor,0.674712061882019,0.08726752549409866,C,0.01001430582255125
0,save your breath,0,52,83.41182708740234,-6.2801313400268555,F,minor,0.7461576461791992,0.05436337739229202,F,0.011444921605288982
0,Found Your Love,0,49,124.6519546508789,-7.990725517272949,A,major,0.7502065896987915,0.03147353231906891,Ab,0.0071530756540596485
0,Tell Me - Live Studio Ver. OT4,0,28,103.41702270507812,-9.88478946685791,F,minor,0.6625024676322937,0.06723891198635101,F#,0.0071530756540596485
