billboard_ranking,song,artist,year,popular_or_not,track_id,spotify_popularity,album,album_id,audio_link,bpm,loudness,key,key_scale,key_strength,chords_changes_rate,chords_key,chords_number_rate
46,Barbie World,Nicki Minaj & Ice Spice With Aqua,2023,1,741UUVE2kuITl0c6zuqqbO,80,Barbie The Album,0BaIaHcyBXuOWeM4Aas4EW,https://p.scdn.co/mp3-preview/f654928ccaa4e6a9fb09a6eb3f208383eccc12a9?cid=6a78982078cb477d900388b0470ad9ad,66.31660461425781,-8.711427688598633,Ab,minor,0.5227130651473999,0.12732474505901337,Ab,0.015736766159534454
48,Escapism,RAYE Featuring 070 Shake,2023,1,1NOgYyLQJpQ9Ntyn5GnRjr,83,My 21st Century Blues,3U8n8LzBx2o9gYXvvNq4uH,https://p.scdn.co/mp3-preview/8a8fcaf9ddf050562048d1632ddc880c9ce7c972?cid=6a78982078cb477d900388b0470ad9ad,88.74229431152344,-8.052538871765137,Bb,minor,0.8091892600059509,0.055793993175029755,A,0.008583690971136093
51,Shirt,SZA,2023,1,4lNrQgt9tZRuwJdIgl6JSR,86,SOS,07w0rG5TETcyihsEIZR3qG,https://p.scdn.co/mp3-preview/36cfe8fbfb78aa38ca3b222c4b9fc88cda992841?cid=6a78982078cb477d900388b0470ad9ad,107.05842590332031,-9.97478199005127,Ab,major,0.7306699156761169,0.042918454855680466,G,0.01001430582255125
52,Paint The Town Red,Doja Cat,2023,1,2IGMVunIBsBLtEQyoI1Mu7,88,Scarlet,6DmPNcfpkXBVRJsEIJY9tl,https://p.scdn.co/mp3-preview/1d4dc1cd67ba78afec8cfb3e5258a9ab9b707dd8?cid=6a78982078cb477d900388b0470ad9ad,92.34574127197266,-9.556589126586914,C#,major,0.580763041973114,0.09155937284231186,G,0.011444921605288982
53,Made You Look,Meghan Trainor,2023,1,0QHEIqNKsMoOY5urbzN48u,85,Takin' It Back,4LVa9bljQRvLYpWr8qyaXs,https://p.scdn.co/mp3-preview/f0eb89945aa820c0f30b5e97f8e2cab42d9f0a99?cid=6a78982078cb477d900388b0470ad9ad,134.2998809814453,-7.641751289367676,A,minor,0.39525508880615234,0.037195995450019836,Ab,0.01001430582255125
54,Wait In The Truck,HARDY Featuring Lainey Wilson,2023,1,49GYvCcvMQq1SY3f7Y347h,69,the mockingbird & THE CROW,6Oynwy3OABCiAqN9w9UqBN,https://p.scdn.co/mp3-preview/3470e502abbd5650f2ac0a65975126bbeaf342a6?cid=cfe923b2d660439caf2b557b21f31221,129.4794158935547,-7.613708019256592,C,major,0.8073915243148804,0.028612302616238594,B,0.0071530756540596485
55,All I Want For Christmas Is You,Mariah Carey,2023,1,0bYg9bo50gSsH3LtXe2SQn,70,Merry Christmas,61ulfFSmmxMhc2wCdmdMkN,https://p.scdn.co/mp3-preview/6b1557cd25d543940a3decd85a7bf2bc136c51f8?cid=6a78982078cb477d900388b0470ad9ad,139.07667541503906,-10.043811798095703,Bb,minor,0.39727339148521423,0.06437768042087555,F,0.014306151308119297
58,Heart Like A Truck,Lainey Wilson,2023,1,5DIBVDJOHh7djepAjKHWCO,75,Bell Bottom Country,06q6BDUpP6OS8Xnx3YC2M0,https://p.scdn.co/mp3-preview/a4d21c6290140a3a53b051bc9bd972db2dde12b4?cid=6a78982078cb477d900388b0470ad9ad,129.31356811523438,-7.888797760009766,Ab,major,0.7365241646766663,0.030042918398976326,G,0.008583690971136093
59,"Going, Going, Gone",Luke Combs,2023,1,67AdiJcurlf6gocGobfaXs,77,Growin' Up,1m9DVgV0kEBiVZ4ElhJEte,https://p.scdn.co/mp3-preview/7c0ae073e9b5b5c17d8b3b2b25620ec396c0d459?cid=6a78982078cb477d900388b0470ad9ad,148.29576110839844,-8.595724105834961,F,major,0.893986701965332,0.0200286116451025,E,0.005722460802644491
64,Eyes Closed,Ed Sheeran,2023,1,50nfwKoDiSYg8zOCREWAm5,80,- (Deluxe),2WFFcvzM0CgLaSq4MSkyZk,https://p.scdn.co/mp3-preview/7cd2576f2d27799fe8c515c4e0fc880870a5cc88?cid=6a78982078cb477d900388b0470ad9ad,98.82720947265625,-7.966707706451416,F,minor,0.7215600609779358,0.02575107291340828,A,0.0071530756540596485
66,Try That In A Small Town,Jason Aldean,2023,1,7b0y3Kc5f6ToRILqD0mLms,71,Highway Desperado,2SCppOPkT7XTKBJV2XIQUw,https://p.scdn.co/mp3-preview/808c6895642b3e6b1ec522a4b9823528145fe29e?cid=6a78982078cb477d900388b0470ad9ad,135.04234313964844,-5.719214916229248,A,minor,0.8606076836585999,0.055793993175029755,Ab,0.008583690971136093
67,Tennessee Orange,Megan Moroney,2023,1,6LaW2p9BxzbSGefvoW8Y4T,77,Lucky,5DFed53ADZwnPOYuqoZJHK,https://p.scdn.co/mp3-preview/ca7195c94078dd2bf40b80acdffa3bb38b7ae378?cid=6a78982078cb477d900388b0470ad9ad,116.35733795166016,-8.4461088180542,Ab,major,0.7315763235092163,0.041487839072942734,C,0.008583690971136093
68,Jingle Bell Rock,Bobby Helms,2023,1,7vQbuQcyTflfCIOu3Uzzya,50,Presenting Bobby Helms,6rxEZkfRTatrDUm4MCyJqm,https://p.scdn.co/mp3-preview/4eca46a4b9ae37fe22543bcaa277e4b38f7ce336?cid=6a78982078cb477d900388b0470ad9ad,111.07365417480469,-14.017512321472168,C,major,0.8312100172042847,0.06723891198635101,A,0.015736766159534454
74,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,2023,1,58pTPJPBjw1xL9OcLcQczU,92,Zach Bryan,6PbnGueEO6LGodPfvNldYf,https://p.scdn.co/mp3-preview/22b240f7ef2eff38bd12fb0c94dfea5e1d70e20a?cid=6a78982078cb477d900388b0470ad9ad,146.37274169921875,-8.750788688659668,B,major,0.7203512191772461,0.04721030220389366,G,0.01001430582255125
