album,album_id,artist,year,billboard_ranking,popular_or_not,song,track_id,spotify_popularity,audio_link
Merry Christmas,61ulfFSmmxMhc2wCdmdMkN,Mariah Carey,2023,0,0,Jesus Born on This Day,6AoXseJVabZFmKEYjQCXPS,31,https://p.scdn.co/mp3-preview/404180b32a0f2259065f9a0fd2c2af13605fdb91?cid=6a78982078cb477d900388b0470ad9ad
Bell Bottom Country,06q6BDUpP6OS8Xnx3YC2M0,Lainey Wilson,2023,0,0,This One's Gonna Cost Me,7C3v6v5UV1qdFYcNzvJTyg,45,https://p.scdn.co/mp3-preview/7533863e1c9fb727983fb7f7f83493e7c2849972?cid=6a78982078cb477d900388b0470ad9ad
Growin' Up,1m9DVgV0kEBiVZ4ElhJEte,Luke Combs,2023,0,0,Better Back When,1jdnhRcv4WN78ZB9RigUaR,52,https://p.scdn.co/mp3-preview/25bc256fb53632a656ff286237670477903a531f?cid=6a78982078cb477d900388b0470ad9ad
- (Deluxe),2WFFcvzM0CgLaSq4MSkyZk,Ed Sheeran,2023,0,0,Wildflowers - Bonus Track,75To9uF11PYY0vAkXnDWvW,52,https://p.scdn.co/mp3-preview/3ff6aac5591dfed14326a4245a2a00efc28823c4?cid=6a78982078cb477d900388b0470ad9ad
Highway Desperado,2SCppOPkT7XTKBJV2XIQUw,Jason Aldean,2023,0,0,Changing Bars,2lSUvoPUhJPbzgR6taJyRQ,43,https://p.scdn.co/mp3-preview/51c532d853045d0fb5d61822fb08d5d9087205fc?cid=6a78982078cb477d900388b0470ad9ad
Lucky,5DFed53ADZwnPOYuqoZJHK,Megan Moroney,2023,0,0,God Plays a Gibson,6Ug6GZZzefggGWig5j2vxM,46,https://p.scdn.co/mp3-preview/33fa07d7f3244a9e8f9986ba46786a4dfcd597ab?cid=6a78982078cb477d900388b0470ad9ad
Presenting Bobby Helms,6rxEZkfRTatrDUm4MCyJqm,Bobby Helms,2023,0,0,(Got A) Heartsick Feeling,5Rxpi2GBP0y20aAzqv58cB,0,https://p.scdn.co/mp3-preview/a83ddcaa3b568dd98955f39d2ed02d87f82fc8dd?cid=6a78982078cb477d900388b0470ad9ad
Zach Bryan,6PbnGueEO6LGodPfvNldYf,Zach Bryan Featuring Kacey Musgraves,2023,0,0,Fear and Friday's (Poem),44IXD2J5yyr7PpOZzz2cmQ,65,https://p.scdn.co/mp3-preview/c1f004eeb25b0fa8c2a7fc2d24a6de7bb788a1c8?cid=6a78982078cb477d900388b0470ad9ad
SOS,07w0rG5TETcyihsEIZR3qG,SZA,2023,0,0,Too Late,4rAg5bbrdZX00mXXhLvYXj,66,https://p.scdn.co/mp3-preview/cfd6bdd6babe9cead7864fc74f451307b38423e4?cid=6a78982078cb477d900388b0470ad9ad
GOLDEN,5pSk3c3wVwnb2arb6ohCPU,Jung Kook Featuring Latto,2023,0,0,Shot Glass of Tears,7AbqgE05nFl9qY4FRUiq2p,76,https://p.scdn.co/mp3-preview/8ca2d835eb2edcbbf0924eb086a5c0cbeb35b8f9?cid=6a78982078cb477d900388b0470ad9ad
I NEVER LIKED YOU,6tE9Dnp2zInFij4jKssysL,Future Featuring Drake & Tems,2023,0,0,THE WAY THINGS GOING,7HFyGCuGYFmHjxnjujBxM1,46,https://p.scdn.co/mp3-preview/60a87d8fa5dea07ed5a500c4468064ae2073c99f?cid=6a78982078cb477d900388b0470ad9ad
LAST CHRISTMAS,6egzU9NKfora01qaNbvwfZ,Wham!,2023,0,0,Everything She Wants,4GSIXi1NcsvfWQtZXyPYfy,34,https://p.scdn.co/mp3-preview/77885e42a9896df998d26e71b5ae2f185d5217e2?cid=6a78982078cb477d900388b0470ad9ad
Memory Lane,3PUA3xAHTsDAp11oAb33Mv,Old Dominion,2023,0,0,Sleep Without Drinking,5RQuCvKN72HotajK3XU9sg,35,https://p.scdn.co/mp3-preview/28d2d71fd0d14a4a429c99d225bb187cadb21119?cid=6a78982078cb477d900388b0470ad9ad
Bury Me in Georgia,5KiNzxNpSxplw7RxB9SSEo,Kane Brown,2023,0,0,Bury Me in Georgia - Single Edit,2mltIbKkhQqyh8gCzaqxqA,63,https://p.scdn.co/mp3-preview/1bcf9664ae7b1fd6455442d709279972bd4c5806?cid=6a78982078cb477d900388b0470ad9ad
Blacktop,6nIkyQ0HO6MDucznnn8DXi,Corey Kent,2023,0,0,Call It a Night,3e5bcZi6px0uXjOot2fGl5,29,https://p.scdn.co/mp3-preview/f7161e9b7b108a9ac68abe14a05768d43acb467d?cid=6a78982078cb477d900388b0470ad9ad
Gumbo,1UbeEAPS49eulB659XSU9g,Young Nudy Featuring 21 Savage,2023,0,0,Hot Grease,3guv5zn5hDfpPpKfcmCTxS,39,https://p.scdn.co/mp3-preview/b245449843dff7eae57ba37276a349d451bfe141?cid=6a78982078cb477d900388b0470ad9ad
Las Mujeres Ya No Lloran,3fonA82Hl7huJiQCwKkzGA,Bizarrap & Shakira,2023,0,0,"Bzrp Music Sessions, Vol. 53 - Tiësto Remix",22Q0eVNpSUIWG0prN6cVmI,63,https://p.scdn.co/mp3-preview/3ba573cb752298abe9b6f538177ea80863ac4b72?cid=6a78982078cb477d900388b0470ad9ad
UTOPIA,18NOKLkZETa4sWwLMIm0UZ,Travis Scott Featuring Drake,2023,0,0,PARASAIL (feat. Yung Lean & Dave Chappelle),2Q0aElTZQtEUsoiaQfizu6,68,https://p.scdn.co/mp3-preview/82f3c0d5844693c4c9b691112d698d5112124661?cid=6a78982078cb477d900388b0470ad9ad
Put It On Da Floor Again (feat. Cardi B),4A43tzEN3jILvseI1HeXGG,Latto Featuring Cardi B,2023,0,0,Put It On Da Floor Again - Instrumental,3H2tSGsIkHnhT2tuHiHtAF,25,https://p.scdn.co/mp3-preview/7844fd6714a5ee13eb33e478b33d90fea0cb43dd?cid=6a78982078cb477d900388b0470ad9ad
Bell Bottom Country,06q6BDUpP6OS8Xnx3YC2M0,Lainey Wilson,2023,0,0,This One's Gonna Cost Me,7C3v6v5UV1qdFYcNzvJTyg,45,https://p.scdn.co/mp3-preview/7533863e1c9fb727983fb7f7f83493e7c2849972?cid=6a78982078cb477d900388b0470ad9ad
