billboard_ranking,song,artist,year,popular_or_not,album_id,album,spotify_popularity,audio_link
47,Thotiana,Blueface,2019,1,4f3xh6cp33tAaQVXEar0Cj,Famous Cryp,64,https://p.scdn.co/mp3-preview/d4fb10001ac5570224a6905617e1a4fed54d33df?cid=6a78982078cb477d900388b0470ad9ad
48,Lucid Dreams,Juice WRLD,2019,1,6tkjU4Umpo79wwkgPMV3nZ,Goodbye & Good Riddance,84,
49,Mo Bamba,Sheck Wes,2019,1,15Id9Jrqab8IwHFirdrrLp,MUDBOY,79,
50,Beautiful People,Ed Sheeran Featuring Khalid,2019,1,3oIFxDIo2fwuk4lwCmFZCx,No.6 Collaborations Project,73,https://p.scdn.co/mp3-preview/2b06c65cce16bd4ef3280275951b612cbc423411?cid=6a78982078cb477d900388b0470ad9ad
51,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,2019,1,5xqQtdlJUY7Fg4BMp13LrX,Evil Genius,75,https://p.scdn.co/mp3-preview/6a8b8a604866070283a65bc021cb51330555e9c7?cid=6a78982078cb477d900388b0470ad9ad
52,Whiskey Glasses,Morgan Wallen,2019,1,1IR2nlwX6YVTXXeu2qzoWO,If I Know Me,81,https://p.scdn.co/mp3-preview/8bfbda21b7e6c086f8d5461c05226cbf2f3e31fa?cid=6a78982078cb477d900388b0470ad9ad
53,God's Country,Blake Shelton,2019,1,5b92Q0wcU49AnhBmu3IxOx,God's Country,69,https://p.scdn.co/mp3-preview/47f5419d3d33a2311e09b876b5b86d4d63b4b8d1?cid=6a78982078cb477d900388b0470ad9ad
54,Be Alright,Dean Lewis,2019,1,61G7KL6rpj167r6H4CzS8C,A Place We Knew,78,
55,Pure Water,Mustard & Migos,2019,1,2WrNHOba5u6P9S9xEboaUy,Perfect Ten,75,
56,The Git Up,Blanco Brown,2019,1,2oxv6Q0GYUkYqz2dhUKo12,Honeysuckle & Lightning Bugs,68,https://p.scdn.co/mp3-preview/aa96f58a330a92dee045a6358bc8999ca4542a00?cid=6a78982078cb477d900388b0470ad9ad
57,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",2019,1,2MFS6WG6jnPAgvJpV3PehR,Carte Blanche,73,
58,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,2019,1,4bLCVUEB9YWKEeaJm8FfqQ,Close To Me (feat. Swae Lee),61,
