billboard_ranking,song,artist,year,popular_or_not,album_id,album,spotify_popularity,audio_link
78,All I Want For Christmas Is You,Mariah Carey,2021,1,61ulfFSmmxMhc2wCdmdMkN,Merry Christmas,70,https://p.scdn.co/mp3-preview/6b1557cd25d543940a3decd85a7bf2bc136c51f8?cid=6a78982078cb477d900388b0470ad9ad
79,No More Parties,Coi Leray Featuring Lil Durk,2021,1,4H8JPgTkCXVgVr8e2J5tKX,No More Parties (Remix),50,
80,What's Your Country Song,Thomas Rhett,2021,1,3W2BTPUHJX51hweWPNRenv,Country Again (Side A),71,
81,One Too Many,Keith Urban Duet With P!nk,2021,1,5j5ngp5GBH7zW3RhHljRK9,One Too Many,64,
82,Arcade,Duncan Laurence,2021,1,7BISGeB7QwhqRIadxuLHfG,Arcade,77,
83,Yonaguni,Bad Bunny,2021,1,6VSOIs13DaSG2IPilNviX5,Yonaguni,79,https://p.scdn.co/mp3-preview/cbade9b0e669565ac8c7c07490f961e4c471b9ee?cid=6a78982078cb477d900388b0470ad9ad
84,Good Time,Niko Moon,2021,1,5WvmRAsjmB3uPLoFeCioC5,GOOD TIME,67,https://p.scdn.co/mp3-preview/5f76b5a84d88ee7909cef8094a40485d395cc452?cid=6a78982078cb477d900388b0470ad9ad
85,If I Didn't Love You,Jason Aldean & Carrie Underwood,2021,1,4MJPulC5XmELvmbrs1XHC9,MACON,68,https://p.scdn.co/mp3-preview/36fb7579381fc0123530e15bf794ce7f5d4aafbf?cid=6a78982078cb477d900388b0470ad9ad
86,Knife Talk,Drake Featuring 21 Savage & Project Pat,2021,1,3SpBlxme9WbeQdI9kx7KAV,Certified Lover Boy,80,
87,pov,Ariana Grande,2021,1,3euz4vS7ezKGnNSwgyvKcd,Positions,74,
88,Just The Way,Parmalee x Blanco Brown,2021,1,2HXs3JKy9OgqOzdox7ODO2,Just The Way (Acoustic),21,https://p.scdn.co/mp3-preview/9ee44f0d1b9489baa13cb245565b1d1a0a1ed9ea?cid=6a78982078cb477d900388b0470ad9ad
89,Take My Breath,The Weeknd,2021,1,2nLOHgzXzwFEpl62zAgCEC,Dawn FM,72,
90,We're Good,Dua Lipa,2021,1,0JeyP8r2hBxYIoxXv11XiX,Future Nostalgia (The Moonlight Edition),72,https://p.scdn.co/mp3-preview/0ed0e3241d7dd381271156710b7153308ddfbb89?cid=6a78982078cb477d900388b0470ad9ad
91,Hell Of A View,Eric Church,2021,1,4MRgsu0MBuBHzMhTLBgnNz,Soul,72,
92,Rockin' Around The Christmas Tree,Brenda Lee,2021,1,34wa3zf2prXFMk47t9zHFG,Merry Christmas From Brenda Lee,64,
93,Put Your Records On,Ritt Momney,2021,1,141Mp3P2VKHQMhtkW1DyQg,Corinne Bailey Rae,82,
94,Happier Than Ever,Billie Eilish,2021,1,0JGOiO34nwfUdDrD612dOp,Happier Than Ever,85,
95,Single Saturday Night,Cole Swindell,2021,1,1wmVEVgetT1F0Qnu0651Ps,Single Saturday Night,58,https://p.scdn.co/mp3-preview/03f4f13636c596e4c53ffe82b2e3bb1f1aca0f62?cid=6a78982078cb477d900388b0470ad9ad
96,Things A Man Oughta Know,Lainey Wilson,2021,1,2WBvIseHSAwsPP4YbNgZXR,Sayin’ What I’m Thinkin’,73,https://p.scdn.co/mp3-preview/fc9b8a24362da3c57af22546f4b3d9fb0e727a9a?cid=6a78982078cb477d900388b0470ad9ad
97,Throat Baby (Go Baby),BRS Kash,2021,1,7CaoMilK1vM4KvbbvRVggD,Throat Baby (Go Baby) (with DaBaby & City Girls) [Remix],55,
98,Tombstone,Rod Wave,2021,1,0i9mOB6mPGqwVvtJEXiwPG,Green River (Expanded Edition),53,
99,Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line,2021,1,5GY70ohePKpld3lT4izB2k,The Album (Acoustic),24,https://p.scdn.co/mp3-preview/943dd7b8619078bedc528bff66c987ba04464e89?cid=6a78982078cb477d900388b0470ad9ad
100,Todo de Ti,Rauw Alejandro,2021,1,7bvgcsOjeslYtb7WGYZy2x,Party Tyme 284 (Spanish Karaoke Versions),0,
1,Heat Waves,Glass Animals,2022,1,5bfpRtBW7RNRdsm3tRyl3R,Dreamland,89,
2,As It Was,Harry Styles,2022,1,5r36AJ6VOJtp00oxSkBZ5h,Harry's House,92,https://p.scdn.co/mp3-preview/c43dd07043b29e800c1a65b3a0102861fa3cf418?cid=6a78982078cb477d900388b0470ad9ad
3,Stay,The Kid LAROI & Justin Bieber,2022,1,576UTio7xgY7YUxrHMzxeI,F*CK LOVE 3+: OVER YOU,82,https://p.scdn.co/mp3-preview/718a2eb032524494a01f73d80af2bcf176c9f3e2?cid=6a78982078cb477d900388b0470ad9ad
4,Easy On Me,Adele,2022,1,6rjgIM9eElrYZAKBowrPOo,Easy On Me (Piano Version),59,https://p.scdn.co/mp3-preview/1f5b8ebca3faf95e8d5e141dc550bdab8764330a?cid=6a78982078cb477d900388b0470ad9ad
5,Shivers,Ed Sheeran,2022,1,32iAEBstCjauDhyKpGjTuq,=,85,https://p.scdn.co/mp3-preview/08cec59d36ac30ae9ce1e2944f206251859844af?cid=6a78982078cb477d900388b0470ad9ad
6,First Class,Jack Harlow,2022,1,2eE8BVirX9VF8Di9hD90iw,Come Home The Kids Miss You,79,https://p.scdn.co/mp3-preview/c05a687254dbdf50a9ab4879d85e54a7594e367f?cid=6a78982078cb477d900388b0470ad9ad
7,Big Energy,Latto,2022,1,4vjE6Rgl5z6K2PhrAtIA7O,777,66,https://p.scdn.co/mp3-preview/c3cc5176cce31288ed64859f4dc38ee321d68b25?cid=6a78982078cb477d900388b0470ad9ad
8,Ghost,Justin Bieber,2022,1,5dGWwsZ9iB2Xc3UKR0gif2,Justice,87,
9,Super Gremlin,Kodak Black,2022,1,0kxA9Bc8pamypR5GYXmeti,Sniper Gang Presents Syko Bob & Snapkatt: Nightmare Babies,71,https://p.scdn.co/mp3-preview/01f6ee2ac9540d2c3dff7513c6219d8bb04d5002?cid=6a78982078cb477d900388b0470ad9ad
10,Cold Heart (PNAU Remix),Elton John & Dua Lipa,2022,1,5D8Rdb09BkmHscEGSWAlA6,Cold Heart (PNAU Remix),84,
11,Wait For U,Future Featuring Drake & Tems,2022,1,6tE9Dnp2zInFij4jKssysL,I NEVER LIKED YOU,82,https://p.scdn.co/mp3-preview/38e12dbcba624463f1a360afd5dcceaf281b1ea5?cid=6a78982078cb477d900388b0470ad9ad
12,About Damn Time,Lizzo,2022,1,4JApkbiesQxv5drdEZRlZC,About Damn Time,74,https://p.scdn.co/mp3-preview/bbf8a26d38f7d8c7191dd64bd7c21a4cec8b61a0?cid=6a78982078cb477d900388b0470ad9ad
13,Bad Habits,Ed Sheeran,2022,1,32iAEBstCjauDhyKpGjTuq,=,82,https://p.scdn.co/mp3-preview/22f3a86c8a83e364db595007f9ac1d666596a335?cid=6a78982078cb477d900388b0470ad9ad
14,Thats What I Want,Lil Nas X,2022,1,6pOiDiuDQqrmo5DbG0ZubR,MONTERO,81,https://p.scdn.co/mp3-preview/f6958f897e3817fcbb6647d62f66c71ee96d1981?cid=6a78982078cb477d900388b0470ad9ad
15,Enemy,Imagine Dragons X JID,2022,1,6yiXkzHvC0OTmhfDQOEWtS,Mercury - Acts 1 & 2,82,
16,Industry Baby,Lil Nas X & Jack Harlow,2022,1,622NFw5Yk0OReMJ2XWcXUh,INDUSTRY BABY (feat. Jack Harlow),78,https://p.scdn.co/mp3-preview/e692ccfcdfe7010a8c1ed61de7937c7686ed072d?cid=6a78982078cb477d900388b0470ad9ad
17,abcdefu,GAYLE,2022,1,6tUQPKlpR4x1gjrXTtOImI,abcdefu,77,https://p.scdn.co/mp3-preview/e13e3bf98cefdca448a1b31ee123a890be0e113c?cid=6a78982078cb477d900388b0470ad9ad
18,Need To Know,Doja Cat,2022,1,7N3SiwnBMR1C8hcA4W1GtH,Need to Know,58,https://p.scdn.co/mp3-preview/153dc4a72a260497f8ea87a00e2af7afb0a0df08?cid=6a78982078cb477d900388b0470ad9ad
19,Wasted On You,Morgan Wallen,2022,1,6JlCkqkqobGirPsaleJpFr,Dangerous: The Double Album,85,
20,Me Porto Bonito,Bad Bunny & Chencho Corleone,2022,1,2uU3fMxL4iSOxFWFpiABPh,Bad Bunny y Chencho Corleone Goes Classical (Un Tributo Sinfónico),6,https://p.scdn.co/mp3-preview/8f2d64d862b3ddc78dfea3b9ed938e6d048152f6?cid=6a78982078cb477d900388b0470ad9ad
21,Woman,Doja Cat,2022,1,1nAQbHeOWTfQzbOoFrvndW,Planet Her,85,https://p.scdn.co/mp3-preview/2ae0b61e45d9a5d6454a3e5ab75f8628dd89aa85?cid=6a78982078cb477d900388b0470ad9ad
22,Titi Me Pregunto,Bad Bunny,2022,1,0nUv2ull7WTnKNEpKUD8eM,Titi Me Pregunto (Remix),19,https://p.scdn.co/mp3-preview/7ea0850253089f7142f3ac6f282ab3baa660692a?cid=6a78982078cb477d900388b0470ad9ad
23,Running Up That Hill (A Deal With God),Kate Bush,2022,1,2yvPZviuTDWES8DDWM25eI,Housify It! Top 40 Hits Made in House,41,https://p.scdn.co/mp3-preview/c5a3a44e0fc956ab218bfe053f118da0f3576b17?cid=6a78982078cb477d900388b0470ad9ad
24,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",2022,1,25L8ck3KGcmCo3901ztPzR,Encanto (Original Motion Picture Soundtrack),42,
25,Late Night Talking,Harry Styles,2022,1,0fnmwFahgLzDJj7pvfDNOq,Lullaby Versions of Harry Styles,29,https://p.scdn.co/mp3-preview/ed5c21c9fec668b23f5e6673b158bd811d8b66d8?cid=6a78982078cb477d900388b0470ad9ad
26,I Like You (A Happier Song),Post Malone Featuring Doja Cat,2022,1,3HHNR44YbP7XogMVwzbodx,Twelve Carat Toothache,82,
27,You Proof,Morgan Wallen,2022,1,2ORO3nNnFXxsvz9Pcd9RdI,You Proof,75,
28,Bad Habit,Steve Lacy,2022,1,3Ks0eeH0GWpY4AU20D5HPD,Gemini Rights,80,https://p.scdn.co/mp3-preview/efe7c2fdd8fa727a108a1270b114ebedabfd766c?cid=6a78982078cb477d900388b0470ad9ad
29,Sunroof,Nicky Youre & dazy,2022,1,1Y7AsjpYThuzMClDdu4FrV,Good Times Go,83,https://p.scdn.co/mp3-preview/605058558fd8d10c420b56c41555e567645d5b60?cid=6a78982078cb477d900388b0470ad9ad
30,One Right Now,Post Malone & The Weeknd,2022,1,3HHNR44YbP7XogMVwzbodx,Twelve Carat Toothache,70,
31,Good 4 U,Olivia Rodrigo,2022,1,4oGMRFfXsFU5b4oEBOXi5C,goodnight 4 u: Lullaby renditions of Olivia Rodrigo songs,29,https://p.scdn.co/mp3-preview/30473350d55ecb5c921aaa87eed7e4b1ae956509?cid=6a78982078cb477d900388b0470ad9ad
32,Numb Little Bug,Em Beihold,2022,1,1iHhuUxL99xxbDjlLwHV8W,Egg in the Backseat,73,
33,Jimmy Cooks,Drake Featuring 21 Savage,2022,1,3cf4iSSKd8ffTncbtKljXw,"Honestly, Nevermind",86,
34,'Til You Can't,Cody Johnson,2022,1,3og8X1LYiVq3nPdMxpM9Wb,Human The Double Album,74,https://p.scdn.co/mp3-preview/0f87c1e0b3e7b28cdf8c14cb48c843d2679a56a8?cid=6a78982078cb477d900388b0470ad9ad
35,Fancy Like,Walker Hayes,2022,1,4sShdTo9jO2RGLgDkZBgN8,Country Stuff The Album,74,https://p.scdn.co/mp3-preview/c69e547d9f87c936d8f1cbaca921e0593db43572?cid=6a78982078cb477d900388b0470ad9ad
36,The Kind Of Love We Make,Luke Combs,2022,1,77B78XJKo4LcsrRg34GNTu,The Kind of Love We Make,73,https://p.scdn.co/mp3-preview/63730992342ccdf7712058f1cba733230e8328d3?cid=6a78982078cb477d900388b0470ad9ad
37,I Ain't Worried,OneRepublic,2022,1,04PEOM6kIEeq9lRp1asNP2,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",90,
38,Break My Soul,Beyonce,2022,1,6FJxoadUE4JNVwWHghBwnb,RENAISSANCE,74,https://p.scdn.co/mp3-preview/6277963cb556a9d4d90517197112d732a5fc3b05?cid=6a78982078cb477d900388b0470ad9ad
39,Something In The Orange,Zach Bryan,2022,1,1CmTOKCeyz1aHH04OwvTPv,Something in the Orange,89,https://p.scdn.co/mp3-preview/d33dc9df586e24c9d8f640df08b776d94680f529?cid=6a78982078cb477d900388b0470ad9ad
40,Save Your Tears,The Weeknd & Ariana Grande,2022,1,2fyOpT5c9kxR8zbDh6UtXh,Save Your Tears (Remix),80,
41,Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),2022,1,1YgekJJTEueWDaMr7BYqPk,An Evening With Silk Sonic,74,https://p.scdn.co/mp3-preview/03985ea0f5b53660c352773875ba5159533fe692?cid=6a78982078cb477d900388b0470ad9ad
42,Levitating,Dua Lipa,2022,1,5lKlFlReHOLShQKyRv6AL9,Future Nostalgia,81,https://p.scdn.co/mp3-preview/6af6db91dba9103cca41d6d5225f6fe120fcfcd3?cid=6a78982078cb477d900388b0470ad9ad
43,In A Minute,Lil Baby,2022,1,0FYvMdfTfYJxnJnKs1wDb0,It's Only Me,65,
44,Moscow Mule,Bad Bunny,2022,1,74ydDCcXTco741y42ceRJ5,"Reise, Reise",61,
45,You Right,Doja Cat & The Weeknd,2022,1,1nAQbHeOWTfQzbOoFrvndW,Planet Her,79,https://p.scdn.co/mp3-preview/6f9e50e5f716c7e2441d4e0262304656c5b108fa?cid=6a78982078cb477d900388b0470ad9ad
46,She Had Me At Heads Carolina,Cole Swindell,2022,1,5UgaQfAOaOdfLxFClw8EWa,Stereotype,75,https://p.scdn.co/mp3-preview/a246e0f9a9dbed1b7479e811644e1e413d4c9571?cid=6a78982078cb477d900388b0470ad9ad
47,Vegas,Doja Cat,2022,1,2Q5DPv9uliinOBSdNooIe3,Vegas (From the Original Motion Picture Soundtrack ELVIS),77,https://p.scdn.co/mp3-preview/da18f3bbe7b385a44febc01a55510d9c83367c54?cid=6a78982078cb477d900388b0470ad9ad
48,Pushin P,Gunna & Future Featuring Young Thug,2022,1,02uWB8Kekadkl3yGBoOOcx,DS4EVER,73,https://p.scdn.co/mp3-preview/a524108f79c6d0bfb4f61c417f719a851876cf93?cid=6a78982078cb477d900388b0470ad9ad
49,Buy Dirt,Jordan Davis Featuring Luke Bryan,2022,1,2y9DFhTWC7QQJMvygK0TzO,Buy Dirt,83,
50,I Hate U,SZA,2022,1,07w0rG5TETcyihsEIZR3qG,SOS,75,https://p.scdn.co/mp3-preview/8412b6f5e28262fd58acc6c92a094615714fba54?cid=6a78982078cb477d900388b0470ad9ad
51,Boyfriend,Dove Cameron,2022,1,4kC5hseZbGaAjiJvr9Hk55,Alchemical: Volume 1,76,https://p.scdn.co/mp3-preview/2239af86b310ca77423af660ba8f113e6ba3b3ae?cid=6a78982078cb477d900388b0470ad9ad
52,Glimpse Of Us,Joji,2022,1,6ZZvx0aefZV3LKa053fn71,Glimpse of Us,81,https://p.scdn.co/mp3-preview/12e4a7ef3f1051424e6e282dfba83fe8448e122f?cid=6a78982078cb477d900388b0470ad9ad
53,Surface Pressure,Jessica Darrow,2022,1,5IQviZiPOcXLBAd9eGo2sA,"Surface Pressure (From ""Encanto"")",59,
54,Fall In Love,Bailey Zimmerman,2022,1,19DGbjQW4oJmS1TLmr7OH3,Religiously. The Album.,77,https://p.scdn.co/mp3-preview/176eb80c187a0d2a8b784b4eb6f945deef83a574?cid=6a78982078cb477d900388b0470ad9ad
55,Love Nwantiti (Ah Ah Ah),CKay,2022,1,2IOV1DFH5EEpuroH0zwBIu,Love Nwantiti ( ah ah ah ) - Ckay b 3atma Mashup,37,https://p.scdn.co/mp3-preview/b592cb2a7ef326b1c39178db35c29395d0444c92?cid=6a78982078cb477d900388b0470ad9ad
56,Super Freaky Girl,Nicki Minaj,2022,1,1ia27ME4iQkoIyUHBnJqX6,Queen Radio: Volume 1,71,
57,Hrs And Hrs,Muni Long,2022,1,29VQRaMV0FqhEsAPWQe95C,Hrs & Hrs (Remix),61,
58,Sand In My Boots,Morgan Wallen,2022,1,6LBPsXUjVuNe9ywLY4xgvX,Dangerous: The Double Album (Bonus),54,
59,MAMIII,Becky G X Karol G,2022,1,7eC4wtMG1I2Jtk4FDWbkKC,ESQUEMAS,81,https://p.scdn.co/mp3-preview/0a699c30d354c4cb36439d03522e65b377ac0fd8?cid=6a78982078cb477d900388b0470ad9ad
60,Knife Talk,Drake Featuring 21 Savage & Project Pat,2022,1,3SpBlxme9WbeQdI9kx7KAV,Certified Lover Boy,80,
61,AA,Walker Hayes,2022,1,4sShdTo9jO2RGLgDkZBgN8,Country Stuff The Album,74,https://p.scdn.co/mp3-preview/c69e547d9f87c936d8f1cbaca921e0593db43572?cid=6a78982078cb477d900388b0470ad9ad
62,Sweetest Pie,Megan Thee Stallion & Dua Lipa,2022,1,4qw41n8iWrdR70Ui3hYBPv,Sweetest Pie,71,https://p.scdn.co/mp3-preview/a9097ac4a504d37508dad964e42e967794d88424?cid=6a78982078cb477d900388b0470ad9ad
63,Provenza,Karol G,2022,1,4kS7bSuU0Jm9LYMosFU2x5,MAÑANA SERÁ BONITO,83,
64,Essence,Wizkid Featuring Justin Bieber & Tems,2022,1,0Rn8NAh8NnoaCOt8r8Tc3e,Essence (feat. Justin Bieber & Tems),64,https://p.scdn.co/mp3-preview/7a1eaedacbc1018448d72e36ae97b7a1d7789dc0?cid=6a78982078cb477d900388b0470ad9ad
65,All I Want For Christmas Is You,Mariah Carey,2022,1,61ulfFSmmxMhc2wCdmdMkN,Merry Christmas,70,https://p.scdn.co/mp3-preview/6b1557cd25d543940a3decd85a7bf2bc136c51f8?cid=6a78982078cb477d900388b0470ad9ad
66,Bam Bam,Camila Cabello Featuring Ed Sheeran,2022,1,15uKoGNVGlkP74imMtfrmw,Bam Bam (feat. Ed Sheeran) [Karaoke Version],23,https://p.scdn.co/mp3-preview/34b8ba2e7f788ac9ca859a62a1de7c6272acc9e5?cid=6a78982078cb477d900388b0470ad9ad
67,5 Foot 9,Tyler Hubbard,2022,1,2S3Q7phoa4bZEijkTRYaLu,Tyler Hubbard,72,
68,Get Into It (Yuh),Doja Cat,2022,1,77wYEnw2gO0ceWtnv4QIxw,"Smooth Jazz All Stars Play Doja Cat, Vol. 2 (Instrumental)",1,https://p.scdn.co/mp3-preview/ff11428a8fcddd42f1464fada9125b2bf3bb9ff4?cid=6a78982078cb477d900388b0470ad9ad
69,Efecto,Bad Bunny,2022,1,3RQQmkQEvNCY4prGKE6oc5,Un Verano Sin Ti,83,https://p.scdn.co/mp3-preview/a622a47c8df98ef72676608511c0b2e1d5d51268?cid=6a78982078cb477d900388b0470ad9ad
70,Rock And A Hard Place,Bailey Zimmerman,2022,1,19DGbjQW4oJmS1TLmr7OH3,Religiously. The Album.,81,https://p.scdn.co/mp3-preview/00044664941fe246993a2db5a7b76f95170b58ab?cid=6a78982078cb477d900388b0470ad9ad
71,Doin' This,Luke Combs,2022,1,1m9DVgV0kEBiVZ4ElhJEte,Growin' Up,66,https://p.scdn.co/mp3-preview/25c78c1ba1fc840bf06d71dc1adf9020ca4bdcf9?cid=6a78982078cb477d900388b0470ad9ad
72,Oh My God,Adele,2022,1,21jF5jlMtzo94wbxmJ18aa,30,76,https://p.scdn.co/mp3-preview/da3141fbf42b7fe6d809a87d75d8537056381970?cid=6a78982078cb477d900388b0470ad9ad
73,Better Days,NEIKED X Mae Muller X Polo G,2022,1,2wcv0lHk5fUYyNGKugGa7q,Better Days (NEIKED x Mae Muller x Polo G),74,
74,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,2022,1,7x5oZf6cKUstjslCxLsKkT,Meet Me At Our Spot (Live),61,
75,Fingers Crossed,Lauren Spencer Smith,2022,1,1nEJIdxjw5Y6LBlWLGJzzT,Mirror,76,
76,All Too Well (Taylor's Version),Taylor Swift,2022,1,6kZ42qRrzov54LcAk4onW9,Red (Taylor's Version),84,
77,Party,Bad Bunny & Rauw Alejandro,2022,1,3RQQmkQEvNCY4prGKE6oc5,Un Verano Sin Ti,79,https://p.scdn.co/mp3-preview/c8d2983c0dbd872db6467308122c8c3652ae31c2?cid=6a78982078cb477d900388b0470ad9ad
78,Despues de La Playa,Bad Bunny,2022,1,0umJAglpJi49Y0ycMesaFe,Party Tyme 218 (Spanish Karaoke Versions),0,
79,You Should Probably Leave,Chris Stapleton,2022,1,0sOeI7pbAmIc8aDFyvkBUW,Starting Over,84,
80,Rockin' Around The Christmas Tree,Brenda Lee,2022,1,34wa3zf2prXFMk47t9zHFG,Merry Christmas From Brenda Lee,64,
81,Broadway Girls,Lil Durk Featuring Morgan Wallen,2022,1,021fiBoLY6KwQmgIvByEtG,Broadway Girls (feat. Morgan Wallen),70,https://p.scdn.co/mp3-preview/6a1efab987254856fdcd7372dc57d61e98a18e46?cid=6a78982078cb477d900388b0470ad9ad
82,Take My Name,Parmalee,2022,1,0BYiDyfOOhzFrX9ENunvbk,For You,69,https://p.scdn.co/mp3-preview/484fe31bb8217f25926b0f3b209a2787a88fe0ea?cid=6a78982078cb477d900388b0470ad9ad
83,What Happened To Virgil,Lil Durk Featuring Gunna,2022,1,64mCp3E6gJ6H1Q0l9S8G0E,What Happened To Virgil (Originally Performed by Lil Durk and Gunna) [Instrumental Version],0,https://p.scdn.co/mp3-preview/1a0af68472ebefa948bcf3f6dd0fad4178f170ac?cid=6a78982078cb477d900388b0470ad9ad
84,Puffin On Zootiez,Future,2022,1,6tE9Dnp2zInFij4jKssysL,I NEVER LIKED YOU,79,https://p.scdn.co/mp3-preview/a5bb6f511c845bd5f971e0fca5ba45f080835ca9?cid=6a78982078cb477d900388b0470ad9ad
85,Like I Love Country Music,Kane Brown,2022,1,6IXSaIsyP9LbtccncAs2Gg,Like I Love Country Music,63,https://p.scdn.co/mp3-preview/5c4fddb8ad0c47b582f4392305f27d1d61e0ab1b?cid=6a78982078cb477d900388b0470ad9ad
86,Jingle Bell Rock,Bobby Helms,2022,1,6rxEZkfRTatrDUm4MCyJqm,Presenting Bobby Helms,50,https://p.scdn.co/mp3-preview/4eca46a4b9ae37fe22543bcaa277e4b38f7ce336?cid=6a78982078cb477d900388b0470ad9ad
87,Ojitos Lindos,Bad Bunny & Bomba Estereo,2022,1,3RQQmkQEvNCY4prGKE6oc5,Un Verano Sin Ti,85,https://p.scdn.co/mp3-preview/d9e32879becf10d4b28d66b55033bc91803d95f7?cid=6a78982078cb477d900388b0470ad9ad
88,Trouble With A Heartbreak,Jason Aldean,2022,1,3DmTwDlyCJ4zEFM6qmquL4,GEORGIA,60,https://p.scdn.co/mp3-preview/b9217320424b6dd1f6dd4294a8d0c6e18a03b8a2?cid=6a78982078cb477d900388b0470ad9ad
89,A Holly Jolly Christmas,Burl Ives,2022,1,6MvKUOSuPdfH0WLeQjR3eR,Have A Holly Jolly Christmas,56,
90,Kiss Me More,Doja Cat Featuring SZA,2022,1,1OnzqJTL9bwe4kvaLxRYxt,Kiss Me More (feat. SZA),77,https://p.scdn.co/mp3-preview/e3ea7622ca746e1e96c3dac7d7e07b7ccfdeb3f1?cid=6a78982078cb477d900388b0470ad9ad
91,She Likes It,Russell Dickerson & Jake Scott,2022,1,1w19pMaq0hP50uuhc8fHP4,The Afterparty Deluxe,34,https://p.scdn.co/mp3-preview/b022b4d58f08c074516a848dcf84d9c0fac6b0e2?cid=6a78982078cb477d900388b0470ad9ad
92,Never Say Never,Cole Swindell / Lainey Wilson,2022,1,5UgaQfAOaOdfLxFClw8EWa,Stereotype,60,https://p.scdn.co/mp3-preview/2da028bedd472a0317a920212e3dbbf3ca58b2b2?cid=6a78982078cb477d900388b0470ad9ad
93,Damn Strait,Scotty McCreery,2022,1,3WOFt4KvKhIeHN4fckCf5y,Damn Strait,57,https://p.scdn.co/mp3-preview/5ebbb6c41c21e6184819124e0dc5b8c421cb4d57?cid=6a78982078cb477d900388b0470ad9ad
94,She's All I Wanna Be,Tate McRae,2022,1,5fhTetHew6Eph6HfQ9O5gJ,i used to think i could fly,80,https://p.scdn.co/mp3-preview/404935a0ab1ae472569566569e893b6bf816a92a?cid=6a78982078cb477d900388b0470ad9ad
95,Last Night Lonely,Jon Pardi,2022,1,2QriWWJQt8g8XXoC1ATDPa,Mr. Saturday Night,72,
96,Flower Shops,ERNEST Featuring Morgan Wallen,2022,1,5mTNFZBZyKIZSYrIAf9c5L,FLOWER SHOPS (THE ALBUM),53,https://p.scdn.co/mp3-preview/b4ed3fea91408d4c5a7b71e1f5bd4a87026b4ee5?cid=6a78982078cb477d900388b0470ad9ad
97,To The Moon!,JNR CHOI & Sam Tompkins,2022,1,70uNWLPkbci5L1bZI1Mzp6,TO THE MOON,69,https://p.scdn.co/mp3-preview/623e89d7f897487b163d88ca750555e3a8d0b76d?cid=6a78982078cb477d900388b0470ad9ad
98,Unholy,Sam Smith & Kim Petras,2022,1,0gX9tkL5njRax8ymWcXARi,Unholy (feat. Kim Petras),82,
99,One Mississippi,Kane Brown,2022,1,3VCaKLIlIDrfKvurZcTmBl,One Mississippi,61,https://p.scdn.co/mp3-preview/24c0c7c77d944a33d03e75ed12eb4d1ee5f13922?cid=6a78982078cb477d900388b0470ad9ad
100,Circles Around This Town,Maren Morris,2022,1,2MeNs8IOs7udC2CuiFKmlZ,Circles Around This Town,50,https://p.scdn.co/mp3-preview/33c6451483f338b2964a03ebe2a776f2593c4745?cid=6a78982078cb477d900388b0470ad9ad
1,Last Night,Morgan Wallen,2023,1,7fOmdhRrRohTzToL617xkk,3 Songs At A Time Sampler,83,
2,Flowers,Miley Cyrus,2023,1,0lpitta7fAqee8lqjzoNKD,Flowers (Originally Performed by Miley Cyrus) [Karaoke Version],17,https://p.scdn.co/mp3-preview/28ad0671dff4b82a616a96a41ea3e1491bfef6e6?cid=6a78982078cb477d900388b0470ad9ad
3,Kill Bill,SZA,2023,1,1nrVofqDRs7cpWXJ49qTnP,SOS,87,https://p.scdn.co/mp3-preview/4bd2dc84016f3743add7eea8b988407b1b900672?cid=6a78982078cb477d900388b0470ad9ad
4,Anti-Hero,Taylor Swift,2023,1,151w1FgRZfnKZA9FEcg9Z3,Midnights,89,
5,Creepin',"Metro Boomin, The Weeknd & 21 Savage",2023,1,1aiyMSJPLznkbPWfelapWU,Creepin' - Sped Up Version,62,https://p.scdn.co/mp3-preview/a6c77b97f15799669f7c0bb15486a1ec771aedf0?cid=6a78982078cb477d900388b0470ad9ad
6,Calm Down,Rema & Selena Gomez,2023,1,2b2GHWESCWEuHiCZ2Skedp,Calm Down (with Selena Gomez),85,
7,Die For You,The Weeknd & Ariana Grande,2023,1,6Exo0MYoL3XammoTDeihFy,Die For You (Remix),79,
8,Fast Car,Luke Combs,2023,1,5Uly85dJHHDfHQCsyUQ8gw,Gettin' Old,87,https://p.scdn.co/mp3-preview/1dc0426c95058783e0fe1d70c41583ca98317108?cid=6a78982078cb477d900388b0470ad9ad
9,Snooze,SZA,2023,1,07w0rG5TETcyihsEIZR3qG,SOS,91,https://p.scdn.co/mp3-preview/8c53920b5fd2c3178afa36cac9eec68b5ee9204a?cid=6a78982078cb477d900388b0470ad9ad
10,I'm Good (Blue),David Guetta & Bebe Rexha,2023,1,7M842DMhYVALrXsw3ty7B3,I'm Good (Blue),90,https://p.scdn.co/mp3-preview/c1de960c1a98f7ab652331e5223c50baba75c460?cid=6a78982078cb477d900388b0470ad9ad
11,Unholy,Sam Smith & Kim Petras,2023,1,0gX9tkL5njRax8ymWcXARi,Unholy (feat. Kim Petras),82,
12,You Proof,Morgan Wallen,2023,1,2ORO3nNnFXxsvz9Pcd9RdI,You Proof,75,
